,Vendor,Model,Current_Price,Old_price,Time,Date
0,ИБП SunWind SW850,None,2750,2669,09.08.2022,15:34:58
1,Ippon,Back Basic 650S Euro,3050,,09.08.2022,15:34:58
2,Ippon,Back Basic 650 Euro,2790,,09.08.2022,15:34:58
3,Ippon,Back Basic 850 Euro,3590,,09.08.2022,15:34:58
4,Ippon,Back Basic 650,2490,,09.08.2022,15:34:58
5,ИБП SunWind SW650,None,2250,2209,09.08.2022,15:34:58
6,PowerCom,Raptor RPT-600A EURO,2960,2889,09.08.2022,15:34:58
7,ИБП SunWind SW1200 LCD,None,5700,5539,09.08.2022,15:34:58
8,Ippon,Back Basic 850S Euro,3790,,09.08.2022,15:34:58
9,Ippon,Back Basic 2200 Euro,11190,13120,09.08.2022,15:34:58
10,PowerCom,Raptor RPT-1000A EURO,4090,,09.08.2022,15:34:58
11,PowerCom,Raptor RPT-800A EURO,3090,,09.08.2022,15:34:58
12,Ippon,Back Basic 1050 Euro,5190,5790,09.08.2022,15:34:58
13,PowerCom,WOW 300,2560,,09.08.2022,15:34:58
14,ИБП SunWind SW450,None,2070,2019,09.08.2022,15:34:58
15,Ippon,Back Comfo Pro II 650,6490,6850,09.08.2022,15:34:58
16,PowerCom,Spider SPD-1000N,5290,,09.08.2022,15:34:58
17,Ippon,Back Basic 850,3290,4250,09.08.2022,15:34:58
18,PowerCom,Raptor RPT-600A,2750,2689,09.08.2022,15:34:58
19,ИБП SunWind SW1050,None,5420,5310,09.08.2022,15:34:58
20,PowerCom,Spider SPD-450N,3490,4550,09.08.2022,15:34:58
21,Ippon,Back Verso 600,4290,,09.08.2022,15:34:58
22,Ippon,Back Comfo Pro II 850,9390,,09.08.2022,15:34:58
23,Ippon,Back Verso 800,5390,,09.08.2022,15:34:58
24,Ippon,Back Basic 1050,5090,,09.08.2022,15:34:58
25,PowerCom,Raptor RPT-1000A,4500,4439,09.08.2022,15:34:58
26,PowerCom,Raptor RPT-1000AP,4140,,09.08.2022,15:34:58
27,PowerCom,Raptor RPT-600AP,2770,2719,09.08.2022,15:34:58
28,PowerCom,Raptor RPT-1500AP,8040,,09.08.2022,15:34:58
29,Ippon,Back Power Pro II Euro 650,5390,,09.08.2022,15:34:58
30,PowerCom,Raptor RPT-800AP,3500,,09.08.2022,15:34:58
